element_id,player_name,team,position,owner_entry_id,owner_team,status
291,Tarkowski,9,2,52481,VG7,o
178,Welbeck,6,4,52472,The Power of Dreams,o
457,Casemiro,14,3,52446,Liverpool,o
314,Leno,10,1,52463,fingero,o
667,Aznou,9,2,52446,Liverpool,o
579,Son,18,3,52463,fingero,o
400,Ortega Moreno,16,1,52463,fingero,o
373,Virgil,12,2,52442,Muppets XI,o
409,Stones,13,2,52463,fingero,o
469,Pope,15,1,52481,VG7,o
32,Martinez,2,1,52456,ProEvolutionSaka,o
37,Digne,2,2,52456,ProEvolutionSaka,o
337,Raúl,10,4,52456,ProEvolutionSaka,o
295,Keane,9,2,52446,Liverpool,o
287,Pickford,9,1,52446,Liverpool,o
20,Trossard,1,3,52481,VG7,o
366,A.Becker,12,1,52442,Muppets XI,o
381,M.Salah,12,3,52472,The Power of Dreams,o
474,Schär,15,2,52481,VG7,o
372,Robertson,12,2,52463,fingero,o
405,Aké,13,2,52463,fingero,o
449,B.Fernandes,14,3,52442,Muppets XI,o
324,Iwobi,10,3,52461,BLACKSKY,o
329,Wilson,10,3,52461,BLACKSKY,o
1,Raya,1,1,52459,Mascara Zone,o
596,Solanke,18,4,52481,VG7,o
507,Aina,16,2,52481,VG7,o
408,Rúben,13,2,52442,Muppets XI,o
253,Henderson,8,1,52472,The Power of Dreams,o
624,Bowen,19,4,52456,ProEvolutionSaka,o
64,Watkins,2,4,52481,VG7,o
224,Cucurella,7,2,52442,Muppets XI,o
226,Chalobah,7,2,52459,Mascara Zone,o
17,Ødegaard,1,3,52481,VG7,o
565,Vicario,18,1,52456,ProEvolutionSaka,o
11,White,1,2,52481,VG7,o
36,Cash,2,2,52446,Liverpool,o
101,Kelleher,5,1,52446,Liverpool,o
84,Tavernier,4,3,52459,Mascara Zone,o
432,Onana,14,1,52481,VG7,o
21,Rice,1,3,52446,Liverpool,o
374,Konaté,12,2,52446,Liverpool,o
31,G.Jesus,1,4,52472,The Power of Dreams,o
488,Bruno G.,15,3,52456,ProEvolutionSaka,o
260,Guéhi,13,2,52459,Mascara Zone,o
220,Sánchez,7,1,52461,BLACKSKY,o
517,Anderson,16,3,52459,Mascara Zone,o
242,Dewsbury-Hall,9,3,52456,ProEvolutionSaka,o
440,Dalot,14,2,52472,The Power of Dreams,o
499,Isak,12,4,52446,Liverpool,o
72,Senesi,4,2,52456,ProEvolutionSaka,o
569,Romero,18,2,52456,ProEvolutionSaka,o
515,Gibbs-White,16,3,52463,fingero,o
430,Haaland,13,4,52459,Mascara Zone,o
16,Saka,1,3,52472,The Power of Dreams,o
661,Ekitiké,12,4,52481,VG7,o
292,Mykolenko,9,2,52446,Liverpool,o
225,James,7,2,52472,The Power of Dreams,o
5,Gabriel,1,2,52461,BLACKSKY,o
283,Mateta,8,4,52446,Liverpool,o
267,Sarr,8,3,52461,BLACKSKY,o
266,Eze,1,3,52442,Muppets XI,o
485,Gordon,15,3,52463,fingero,o
303,Garner,9,3,52446,Liverpool,o
384,Gakpo,12,3,52472,The Power of Dreams,o
47,Rogers,2,3,52442,Muppets XI,o
235,Palmer,7,3,52463,fingero,o
654,Strand Larsen,8,4,52459,Mascara Zone,o
236,Neto,7,3,52481,VG7,o
387,Szoboszlai,12,3,52459,Mascara Zone,o
450,Cunha,14,3,52472,The Power of Dreams,o
257,Lacroix,8,2,52456,ProEvolutionSaka,o
82,Semenyo,13,3,52461,BLACKSKY,o
390,Gravenberch,12,3,52446,Liverpool,o
97,Evanilson,4,4,52463,fingero,o
19,Martinelli,1,3,52481,VG7,o
113,Van den Berg,5,2,52459,Mascara Zone,o
8,J.Timber,1,2,52463,fingero,o
119,Mbeumo,14,3,52442,Muppets XI,o
397,Darwin,12,4,52463,fingero,o
237,Enzo,7,3,52456,ProEvolutionSaka,o
402,Aït-Nouri,13,2,52461,BLACKSKY,o
486,Elanga,15,3,52481,VG7,o
615,Summerville,19,3,52459,Mascara Zone,o
67,Petrović,4,1,52442,Muppets XI,o
6,Saliba,1,2,52442,Muppets XI,o
77,Hill,4,2,52461,BLACKSKY,o
407,Matheus N.,13,2,52472,The Power of Dreams,o
417,Cherki,13,3,52456,ProEvolutionSaka,o
7,Calafiori,1,2,52472,The Power of Dreams,o
664,Lecomte,10,1,52456,ProEvolutionSaka,o
411,O'Reilly,13,2,52459,Mascara Zone,o
249,João Pedro,7,4,52442,Muppets XI,o
26,Zubimendi,1,3,52461,BLACKSKY,o
526,Igor Jesus,16,4,52459,Mascara Zone,o
473,Hall,15,2,52463,fingero,o
139,Verbruggen,6,1,52461,BLACKSKY,o
575,Van de Ven,18,2,52456,ProEvolutionSaka,o
74,Truffert,4,2,52459,Mascara Zone,o
382,Wirtz,12,3,52472,The Power of Dreams,o
10,Lewis-Skelly,1,2,52481,VG7,o
136,Thiago,5,4,52442,Muppets XI,o
666,Gyökeres,1,4,52463,fingero,o
293,O'Brien,9,2,52461,BLACKSKY,o
120,Schade,5,3,52463,fingero,o
83,O.Dango,5,3,52459,Mascara Zone,o
371,Kerkez,12,2,52472,The Power of Dreams,o
100,Kroupi.Jr,4,4,52461,BLACKSKY,o
310,Barry,9,4,52461,BLACKSKY,o
110,Kayode,5,2,52461,BLACKSKY,o
671,Wilson,19,4,52446,Liverpool,o
679,Hermansen,19,1,52472,The Power of Dreams,o
684,Thiaw,15,2,52446,Liverpool,o
691,Calvert-Lewin,11,4,52461,BLACKSKY,o
708,M.Fernandes,19,3,52442,Muppets XI,o
715,John,16,1,52442,Muppets XI,o
720,Tolu,20,4,52442,Muppets XI,o
728,Röhl,9,3,52459,Mascara Zone,o
729,Cuiabano,16,2,52472,The Power of Dreams,o
792,Alysson,2,3,52456,ProEvolutionSaka,o
